"X","DATE","LATITUDE","LONGITUDE","OFFENSE","PRECINCT","BOROUGH","JURISDICTION","DAY","MONTH"
927288,2014-09-13,40.8419678660001,-73.938159745,"BURGLARY",33,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Sep"
918341,2014-08-27,40.860878686,-73.895902416,"ROBBERY",46,"BRONX","N.Y. POLICE DEPT","Wednesday","Aug"
927754,2013-09-17,40.6671358770001,-73.866978042,"GRAND LARCENY OF MOTOR VEHICLE",75,"BROOKLYN","N.Y. HOUSING POLICE","Tuesday","Sep"
823161,2015-03-16,40.546899985,-74.1486715089999,"GRAND LARCENY",122,"STATEN ISLAND","N.Y. POLICE DEPT","Monday","Mar"
870918,2014-11-21,40.7087323010001,-73.871252206,"GRAND LARCENY OF MOTOR VEHICLE",104,"QUEENS","N.Y. POLICE DEPT","Friday","Nov"
1023175,2013-11-13,40.7066149010001,-73.761969688,"GRAND LARCENY",103,"QUEENS","N.Y. POLICE DEPT","Wednesday","Nov"
1017172,2014-09-12,40.7479725270001,-73.977538723,"BURGLARY",17,"MANHATTAN","N.Y. POLICE DEPT","Friday","Sep"
1108462,2015-03-04,40.7443624370001,-74.006598434,"GRAND LARCENY",10,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Mar"
1088711,2014-12-20,40.677490086,-73.9303230519999,"ROBBERY",81,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Dec"
1059972,2014-07-09,40.7095637080001,-73.787698582,"ROBBERY",103,"QUEENS","N.Y. POLICE DEPT","Wednesday","Jul"
1054303,2015-01-01,40.634822537,-74.145754454,"GRAND LARCENY",121,"STATEN ISLAND","N.Y. POLICE DEPT","Thursday","Jan"
993047,2015-06-15,40.8213095510001,-73.8803307329999,"ROBBERY",43,"BRONX","N.Y. POLICE DEPT","Monday","Jun"
1037586,2015-12-19,40.762502468,-73.993384619,"FELONY ASSAULT",18,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Dec"
807326,2013-06-15,40.8092532420001,-73.8870208549999,"ROBBERY",41,"BRONX","N.Y. POLICE DEPT","Saturday","Jun"
930138,2014-10-18,40.852146556,-73.89759692,"FELONY ASSAULT",48,"BRONX","N.Y. POLICE DEPT","Saturday","Oct"
1040388,2014-04-05,40.6804045820001,-73.9098990529999,"BURGLARY",73,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Apr"
1089467,2015-08-24,40.7422378520001,-73.991192516,"BURGLARY",13,"MANHATTAN","N.Y. POLICE DEPT","Monday","Aug"
1113587,2015-12-31,40.827421047,-73.9129014219999,"FELONY ASSAULT",44,"BRONX","N.Y. POLICE DEPT","Thursday","Dec"
679595,2013-03-17,40.7563434630001,-73.8693409919999,"GRAND LARCENY",115,"QUEENS","N.Y. POLICE DEPT","Sunday","Mar"
1022902,2014-09-03,40.772698443,-73.961539967,"GRAND LARCENY",19,"MANHATTAN","N.Y. POLICE DEPT","Wednesday","Sep"
929353,2014-10-18,40.745833797,-74.001813133,"GRAND LARCENY",10,"MANHATTAN","N.Y. POLICE DEPT","Saturday","Oct"
931849,2013-11-06,40.7128516870001,-73.983830602,"BURGLARY",7,"MANHATTAN","N.Y. HOUSING POLICE","Wednesday","Nov"
987397,2013-05-15,40.6369238200001,-74.0080830699999,"GRAND LARCENY",66,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","May"
930054,2015-07-02,40.8125462670001,-73.90126679,"GRAND LARCENY",41,"BRONX","N.Y. POLICE DEPT","Thursday","Jul"
1082932,2015-07-07,40.7076339170001,-73.7951529269999,"GRAND LARCENY",103,"QUEENS","N.Y. POLICE DEPT","Tuesday","Jul"
899421,2013-10-24,40.764540395,-73.980756819,"GRAND LARCENY",18,"MANHATTAN","N.Y. POLICE DEPT","Thursday","Oct"
726800,2014-02-09,40.7170305980001,-73.965262432,"ROBBERY",90,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Feb"
921056,2014-08-01,40.754843416,-73.98201209,"GRAND LARCENY",14,"MANHATTAN","N.Y. POLICE DEPT","Friday","Aug"
1082679,2015-07-07,40.7730316540001,-73.933750461,"FELONY ASSAULT",114,"QUEENS","N.Y. HOUSING POLICE","Tuesday","Jul"
793514,2014-11-26,40.5780027180001,-73.959636148,"GRAND LARCENY",60,"BROOKLYN","N.Y. POLICE DEPT","Wednesday","Nov"
971443,2014-01-28,40.6371045390001,-73.88690156,"FELONY ASSAULT",69,"BROOKLYN","N.Y. POLICE DEPT","Tuesday","Jan"
839354,2013-09-15,40.6068984610001,-73.9633065369999,"BURGLARY",61,"BROOKLYN","N.Y. POLICE DEPT","Sunday","Sep"
666616,2013-06-05,40.842841724,-73.86528584,"GRAND LARCENY",49,"BRONX","N.Y. POLICE DEPT","Wednesday","Jun"
989424,2015-06-13,40.5760872710001,-73.983568524,"GRAND LARCENY",60,"BROOKLYN","N.Y. POLICE DEPT","Saturday","Jun"
1022524,2013-08-15,40.7365299460001,-73.870094315,"ROBBERY",110,"QUEENS","N.Y. POLICE DEPT","Thursday","Aug"
793546,2014-10-10,40.89464689,-73.912759082,"BURGLARY",50,"BRONX","N.Y. POLICE DEPT","Friday","Oct"
